codon_position,variability_score,gap_fraction,is_conserved
1,0.6666666666666667,0.0,False
2,0.5555555555555556,0.0,False
3,0.5555555555555556,0.0,False
4,0.6666666666666667,0.0,False
5,0.33333333333333337,0.0,False
6,0.6666666666666667,0.3333333333333333,False
7,0.5,0.3333333333333333,False
8,0.6666666666666667,0.3333333333333333,False
9,0.6666666666666667,0.0,False
10,0.6666666666666667,0.0,False
11,0.5,0.3333333333333333,False
12,0.6666666666666667,0.3333333333333333,False
13,0.5555555555555556,0.0,False
14,0.6666666666666667,0.0,False
15,0.6666666666666667,0.0,False
16,0.4444444444444444,0.0,False
17,0.5555555555555556,0.0,False
18,0.4444444444444444,0.0,False
19,0.5,0.3333333333333333,False
20,0.5,0.3333333333333333,False
21,0.6666666666666667,0.0,False
22,0.6666666666666667,0.0,False
23,0.6666666666666667,0.0,False
24,0.6666666666666667,0.0,False
25,0.6666666666666667,0.0,False
26,0.6666666666666667,0.0,False
27,0.6666666666666667,0.0,False
28,0.5555555555555556,0.0,False
29,0.5,0.3333333333333333,False
30,0.5555555555555556,0.0,False
31,0.4444444444444444,0.0,False
32,0.6666666666666667,0.0,False
33,0.4444444444444444,0.0,False
34,0.6666666666666667,0.0,False
35,0.5555555555555556,0.0,False
36,0.4444444444444444,0.0,False
37,0.33333333333333337,0.3333333333333333,False
38,0.4444444444444444,0.0,False
39,0.6666666666666667,0.0,False
40,0.5555555555555556,0.0,False
41,0.5555555555555556,0.0,False
42,0.6666666666666667,0.3333333333333333,False
43,0.6666666666666667,0.0,False
44,0.6666666666666667,0.0,False
45,0.5555555555555556,0.0,False
46,0.5555555555555556,0.0,False
